#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = 水
acidic_metal_slurry                               ([no block])                                                                     = 酸化金属富集炉渣浆液
fluoro_benzene                                    ([no block])                                                                     = 氟苯
ammonium_perrhenate                               ([no block])                                                                     = 高铼酸铵
maleic_anhydride                                  ([no block])                                                                     = 顺丁烯二酸酐
pryho_nitrate_solution                            ([no block])                                                                     = 硝酸镨钇钬溶液
complicated_heavy_e_naquadah                      ([no block])                                                                     = 复杂重富集硅岩
acetylating_reagent                               ([no block])                                                                     = 乙酰化试剂
calcium_carbonate_solution                        ([no block])                                                                     = 碳酸钙悬浊液
light_quarks                                      ([no block])                                                                     = 轻夸克
naquadriatic_solution                             ([no block])                                                                     = 超能硅岩溶液
methylnitronitrosoguanidine                       ([no block])                                                                     = Methylnitronitrosoguanidine
oxidised_nitrogen_mix                             ([no block])                                                                     = 氧化富氮混合物
silica_gel_base                                   ([no block])                                                                     = 硅胶基质
fluoroboric_acid                                  ([no block])                                                                     = 氟硼酸
hydroxilamine                                     ([no block])                                                                     = 羟胺
edta_solution                                     ([no block])                                                                     = 乙二胺四乙酸溶液
resorcinol                                        ([no block])                                                                     = 间苯二酚
chlorinated_solvents                              ([no block])                                                                     = 有机氯溶剂
zinc_poor_mix                                     ([no block])                                                                     = 贫锌混合物
ammonium_persulfate                               ([no block])                                                                     = 过硫酸铵
liquid_helium                                     ([no block])                                                                     = 液氦
cycloparaphenylene                                ([no block])                                                                     = 环对苯撑
germanic_acid_solution                            ([no block])                                                                     = 锗酸溶液
superheavy_mix                                    ([no block])                                                                     = 超重元素混合流体
unprocessed_ndyag_solution                        ([no block])                                                                     = 未处理掺钕的钇铝石榴石溶液
wet_formamide                                     ([no block])                                                                     = 湿甲酰胺
metal_hydroxide_mix                               ([no block])                                                                     = 氢氧化金属混合物
cosmic_computing_mix                              ([no block])                                                                     = 寰宇计算混合物
chitosan                                          ([no block])                                                                     = 壳聚糖
methylamine                                       ([no block])                                                                     = 甲胺
sodium_lithium_solution                           ([no block])                                                                     = 钠-锂溶液
xylene_zeolite                                    ([no block])                                                                     = 二甲苯沸石
green_sapphire_slurry                             ([no block])                                                                     = 绿色蓝宝石浆液
radon_radium_mix                                  ([no block])                                                                     = 镭-氡混合物
zinc_exhaust_mixture                              ([no block])                                                                     = 枯竭锌混合物
naquadah_difluoride                               ([no block])                                                                     = 二氟化硅岩
nitrosonium_octafluoroxenate                      ([no block])                                                                     = 八氟合氙酸亚硝酰
rare_earth_nitrate_solution                       ([no block])                                                                     = 硝酸稀土溶液
naquadria_cesium_xenon_nonfluoride                ([no block])                                                                     = 九氟合氙酸硅岩铯
iodobenzene                                       ([no block])                                                                     = 碘苯
rare_earth_chlorides_solution                     ([no block])                                                                     = 稀土氯化物溶液
piranha_solution                                  ([no block])                                                                     = 食人鱼洗液
zrhf_separation_mix                               ([no block])                                                                     = 锆-铪分离混合物
ethylene_oxide                                    ([no block])                                                                     = 环氧乙烷
seaborgium_doped_nanotubes                        ([no block])                                                                     = 钅喜掺杂的纳米管
gas_mixture                                       ([no block])                                                                     = 混合气体
citric_acid                                       ([no block])                                                                     = 柠檬酸
molten_lik_chloride_eutetic                       ([no block])                                                                     = 熔融共晶氯化锂-氯化钾混合物
benzenesulfonyl_chloride                          ([no block])                                                                     = 苯磺酰氯
animal_cells                                      ([no block])                                                                     = 动物细胞
iodobenzoic_acid                                  ([no block])                                                                     = 间碘苯甲酸
uranium_sulfate_waste_solution                    ([no block])                                                                     = 硫酸铀废液
liquid_enriched_helium                            ([no block])                                                                     = 液态富氦
germanium_chloride                                ([no block])                                                                     = 氯化锗
rich_nitrogen_mix                                 ([no block])                                                                     = 富氮混合物
isopropyl_alcohol                                 ([no block])                                                                     = 异丙醇
naquadric_solution                                ([no block])                                                                     = 硅岩溶液
used_drilling_mud                                 ([no block])                                                                     = 已用过的钻井泥浆
n_difluorophenylpyrrole                           ([no block])                                                                     = N-二氟苯基吡咯
zrhf_oxychloride                                  ([no block])                                                                     = 锆-铪氯氧化物
supercritical_sodium_potassium_alloy              ([no block])                                                                     = 超临界钠钾合金
damp_bromine                                      ([no block])                                                                     = 湿溴
chloride_leached_solution                         ([no block])                                                                     = 氯化物浸出溶液
metoxybenzaldehyde                                ([no block])                                                                     = 间苯氧基苯甲醛
supercritical_flinak                              ([no block])                                                                     = 超临界氟锂钠钾混合物
citral                                            ([no block])                                                                     = 柠檬醛
naphtaleneamine                                   ([no block])                                                                     = 萘芬
aminophenol                                       ([no block])                                                                     = 氨基苯酚
dibromoacrolein                                   ([no block])                                                                     = 二溴丙烯醛
acetate_solution                                  ([no block])                                                                     = 乙酸盐溶液
supercritcal_co2                                  ([no block])                                                                     = 超临界二氧化碳
rapidly_replicating_animal_cells                  ([no block])                                                                     = 快速增殖动物细胞
cesium_fluoride                                   ([no block])                                                                     = 氟化铯
sodium_hexafluoroaluminate                        ([no block])                                                                     = 六氟铝酸钠
glucose_iron_solution                             ([no block])                                                                     = 葡萄糖-铁溶液
toluenesulfonate                                  ([no block])                                                                     = 甲苯磺酸
complicated_light_naquadah                        ([no block])                                                                     = 复杂轻硅岩
titanium_sulfate                                  ([no block])                                                                     = 硫酸钛
uranium_refinement_waste_solution                 ([no block])                                                                     = 精纯铀废液
auric_chloride                                    ([no block])                                                                     = 氯化金
turpentine                                        ([no block])                                                                     = 松节油
quasifissioning_plasma                            ([no block])                                                                     = 拟裂变等离子体
thiocyanic_acid                                   ([no block])                                                                     = 硫氰酸
bentonite_clay_solution                           ([no block])                                                                     = 膨润土悬浊液
heavy_naquadah                                    ([no block])                                                                     = 重硅岩
enriched_xenon_hexafluoronaquadate                ([no block])                                                                     = 六氟合氙酸硅岩
hyper_fluid_i                                     ([no block])                                                                     = 超能燃料 I
dimetoxythiophene                                 ([no block])                                                                     = 二甲氧基噻吩
trioctylamine                                     ([no block])                                                                     = Trioctylamine
chloroethane                                      ([no block])                                                                     = 氯乙烷
diaminoanthraquinone                              ([no block])                                                                     = 二氨基蒽醌
tb_ho_oxides_solution                             ([no block])                                                                     = 铽-钬氧化物溶液
butanol                                           ([no block])                                                                     = 丁醇
atl                                               ([no block])                                                                     = 胺处理褐煤
photopolymer_solution                             ([no block])                                                                     = 光聚合物溶液
acetylene                                         ([no block])                                                                     = 乙炔
catalase                                          ([no block])                                                                     = 过氧化氢酶
zinc_slag_slurry                                  ([no block])                                                                     = 锌炉渣浆液
cosmic_mesh_plasma                                ([no block])                                                                     = 寰宇织网等离子体
bromine_trifluoride                               ([no block])                                                                     = 三氟化溴
hyper_fluid_ii                                    ([no block])                                                                     = 超能燃料 II
concentrated_brine                                ([no block])                                                                     = 浓缩盐水
barium_triflate_solution                          ([no block])                                                                     = 三氟甲基磺酸钡溶液
ethylene_glycol                                   ([no block])                                                                     = 乙二醇
trichloroferane                                   ([no block])                                                                     = 三氯鈇烷
hydrogen_cracked_dmf                              ([no block])                                                                     = 加氢裂化的甲酰胺
trimetylamine                                     ([no block])                                                                     = 三甲胺
hot_nitrogen                                      ([no block])                                                                     = 热氮
thionyl_chloride                                  ([no block])                                                                     = 氯化亚砜
caliche_iodate_brine                              ([no block])                                                                     = 生硝碘酸盐水
iron_carbonyl                                     ([no block])                                                                     = 五羰基铁
hyper_fluid_iv                                    ([no block])                                                                     = 超能燃料 IV
dihydroiodotetracene                              ([no block])                                                                     = 二氢碘化四联苯
diluted_ammonia                                   ([no block])                                                                     = 稀氨水
lithiumthiinediselenide                           ([no block])                                                                     = 锂硫醚二硒
acrylonitrile                                     ([no block])                                                                     = 丙烯腈
dimethylthiocarbamoil_chloride                    ([no block])                                                                     = 二甲氨基硫代甲酰氯
dibromomethylbenzene                              ([no block])                                                                     = 二溴甲苯
ammonium_fluoride                                 ([no block])                                                                     = 氟化铵
ozone                                             ([no block])                                                                     = 臭氧
rn_cracked_heavy_e_naquadah                       ([no block])                                                                     = 加氡裂化的重富集硅岩
copper_refining_solution                          ([no block])                                                                     = 铜精炼溶液
ferric_ree_chloride                               ([no block])                                                                     = 含稀土氯化铁
non_metals                                        ([no block])                                                                     = 非金属混合物
caliche_iodine_brine                              ([no block])                                                                     = 生硝碘盐水
hot_potassium_uranyl_carbonate                    ([no block])                                                                     = 热三碳酸铀酰钾溶液
ammonium_cyanate                                  ([no block])                                                                     = 氰酸铵
complicated_heavy_naquadah                        ([no block])                                                                     = 复杂重硅岩
ethanolamine                                      ([no block])                                                                     = 乙醇胺
diethylether                                      ([no block])                                                                     = 二乙醚
purified_iron_carbonyl                            ([no block])                                                                     = 纯净五羰基铁
carbonated_ethanolamine                           ([no block])                                                                     = 碳酸乙醇胺
metal_slag_slurry                                 ([no block])                                                                     = 金属富集炉渣浆液
pure_aloh3_soution                                ([no block])                                                                     = 纯净氢氧化铝溶液
mercaphenol                                       ([no block])                                                                     = 巯基苯酚
fluorotoluene                                     ([no block])                                                                     = 氟甲苯
silvertetrafluoroborate                           ([no block])                                                                     = 四氟硼酸银
zrhf_chloride                                     ([no block])                                                                     = 锆-铪氯化物
enriched_naquadric_solution                       ([no block])                                                                     = 富集硅岩溶液
naquadah_gas                                      ([no block])                                                                     = 硅岩气
hydroquinoline                                    ([no block])                                                                     = 羟基喹啉
light_naquadah                                    ([no block])                                                                     = 轻硅岩
dimethylformamide                                 ([no block])                                                                     = 二甲基甲酰胺
azafullerene                                      ([no block])                                                                     = 氮杂富勒烯
dimethylnaphtalene                                ([no block])                                                                     = 二甲基萘
diethylthiourea                                   ([no block])                                                                     = Diethylthiourea
clear_e_naquadah_liquid                           ([no block])                                                                     = 清澈富集硅岩液体
magnesium_containing_brine                        ([no block])                                                                     = 含镁盐水
cno_catalyst                                      ([no block])                                                                     = CNO催化剂
ethylhexanol                                      ([no block])                                                                     = 2-乙基己醇
titanium_tetrafluoride_liquid                     ([no block])                                                                     = 四氟化钛流体
complicated_medium_naquadah                       ([no block])                                                                     = 复杂中硅岩
benzenediazonium_tetrafluoroborate                ([no block])                                                                     = 四氟硼酸重氮苯
ferrocenylfulleropyrddolidine                     ([no block])                                                                     = 二茂铁基富勒吡唑烷
hydroselenic_acid                                 ([no block])                                                                     = 硒化氢
lithium_carbonate_solution                        ([no block])                                                                     = 碳酸锂溶液
methylguanidine                                   ([no block])                                                                     = Methylguanidine
liquid_nitrogen                                   ([no block])                                                                     = 液氮
astatide_solution                                 ([no block])                                                                     = 砹化物溶液
acidified_polyphenol_mix                          ([no block])                                                                     = 酸化多酚混合物
alkalineearth_sulfate                             ([no block])                                                                     = Alkaline Earth Sulfate
la_nd_oxides_solution                             ([no block])                                                                     = 镧-钕氧化物溶液
liquid_helium_3                                   ([no block])                                                                     = 液态氦-3
og_breeding_base                                  ([no block])                                                                     = ?增殖基
hydroxilamine_disulfate                           ([no block])                                                                     = 羟胺硫酸氢盐
sodium_carbonate_solution                         ([no block])                                                                     = 碳酸钠溶液
acetoacetanilide                                  ([no block])                                                                     = 乙酰乙酰苯胺
ytterbium_178                                     ([no block])                                                                     = 镱-178
hydrogen_cyanide                                  ([no block])                                                                     = 氰化氢
reethu_sulfate_solution                           ([no block])                                                                     = 硫酸稀土溶液
complicated_medium_e_naquadah                     ([no block])                                                                     = 复杂中富集硅岩
aniline                                           ([no block])                                                                     = 苯胺
acidic_mixture                                    ([no block])                                                                     = 酸性混合物
cocab_catalyst                                    ([no block])                                                                     = 碳-氧-钙-硼混合催化剂
fluorosilicic_acid                                ([no block])                                                                     = 氟硅酸
ammonia_nitrate                                   ([no block])                                                                     = 硝酸铵
hot_uranium_diuranate                             ([no block])                                                                     = 热重铀酸铀溶液
sapphire_slurry                                   ([no block])                                                                     = 蓝宝石浆液
kerosene_iodine_solution                          ([no block])                                                                     = 煤油碘盐水
formamide                                         ([no block])                                                                     = 甲酰胺
fullerene_doped_nanotubes                         ([no block])                                                                     = 富勒烯掺杂的纳米管
tannic_acid                                       ([no block])                                                                     = 鞣酸
dichlorine_monoxide                               ([no block])                                                                     = 一氧化二氯
choline                                           ([no block])                                                                     = 胆碱
ethylamine                                        ([no block])                                                                     = 乙胺
nickel56                                          ([no block])                                                                     = 镍-56
nickel56_plasma                                   ([no block])                                                                     = 镍-56等离子体
ruby_slurry                                       ([no block])                                                                     = 红宝石浆液
sox_2_gene                                        ([no block])                                                                     = SOX-2基因
fl_cracked_light_naquadah                         ([no block])                                                                     = 加氟裂化的轻硅岩
edta                                              ([no block])                                                                     = 乙二胺四乙酸
amidoxime                                         ([no block])                                                                     = 偕胺肟
methyl_formate                                    ([no block])                                                                     = 甲酸甲酯
free_electron_gas                                 ([no block])                                                                     = 自由电子气体
selenate_tellurate_mixture                        ([no block])                                                                     = 硒酸-碲酸盐混合物
scandium_titanium50_mix                           ([no block])                                                                     = 钪-钛50混合物
ammonium_niobium_oxalate_solution                 ([no block])                                                                     = 草酸铌铵溶液
heavy_e_naquadah_fuel                             ([no block])                                                                     = 重富集硅岩燃料
medium_e_naquadah_fuel                            ([no block])                                                                     = 中富集硅岩燃料
rhenium_separation_mixture                        ([no block])                                                                     = Rhenium Separation Mixture
radon_trioxide                                    ([no block])                                                                     = 三氧化氡
supercritical_lead_bismuth_eutectic               ([no block])                                                                     = 超临界共晶铅铋
polyacrylonitrile_solution                        ([no block])                                                                     = 聚丙烯腈溶液
butanol_gas                                       ([no block])                                                                     = 丁醇气
red_mud                                           ([no block])                                                                     = 赤泥
butyl_lithium                                     ([no block])                                                                     = 丁基锂
dichloromethane                                   ([no block])                                                                     = 二氯甲烷
mesityl_oxide                                     ([no block])                                                                     = 异亚丙基丙酮
boric_acid                                        ([no block])                                                                     = 硼酸
bismuth_vanadate_solution                         ([no block])                                                                     = 钒酸铋溶液
tertbutanol                                       ([no block])                                                                     = 叔丁醇
methylethanolamine                                ([no block])                                                                     = Methylethanolamine
sea_water                                         ([no block])                                                                     = 海水
hyper_fluid_iii                                   ([no block])                                                                     = 超能燃料 III
boron_fluoride                                    ([no block])                                                                     = 氟化硼
benzoyl_chloride                                  ([no block])                                                                     = 苯甲酰氯
lithium_peroxide                                  ([no block])                                                                     = 过氧化锂溶液
difluoroaniline                                   ([no block])                                                                     = 二氟苯胺
phenylenedioxydiacetic_acid                       ([no block])                                                                     = Phenylenedioxydiacetic Acid
medium_naquadah_fuel                              ([no block])                                                                     = 中硅岩燃料
boron_free_solution                               ([no block])                                                                     = 无硼盐水
dense_neutron_plasma                              ([no block])                                                                     = 致密中子素等离子体
krypton_difluoride                                ([no block])                                                                     = 二氟化氪
vitamin_a                                         ([no block])                                                                     = 维生素A
noble_gases_mixture                               ([no block])                                                                     = 稀有气体混合物
biotin                                            ([no block])                                                                     = 生物素
hot_purified_nitrogen_mix                         ([no block])                                                                     = 热纯化富氮混合物
thallium_sulfate                                  ([no block])                                                                     = 硫酸铊溶液
liquid_crystal_detector                           ([no block])                                                                     = 液晶探测器
xenoauric_fluoroantimonic_acid                    ([no block])                                                                     = 氟锑酸二氙合金
clear_naquadah_liquid                             ([no block])                                                                     = 清澈硅岩液体
lithium_hydroxide_solution                        ([no block])                                                                     = 氢氧化锂溶液
chloroethanol                                     ([no block])                                                                     = 氯乙醇
bacterial_growth_medium                           ([no block])                                                                     = 细菌生长培养基
uranyl_chloride_solution                          ([no block])                                                                     = 氯化铀酰溶液
supercritical_sodium                              ([no block])                                                                     = 超临界钠
nbta_fluoride_mix                                 ([no block])                                                                     = 铌-钽氟化混合物
light_e_naquadah                                  ([no block])                                                                     = 轻富集硅岩
aminated_fullerene                                ([no block])                                                                     = 胺化富勒烯
chitin                                            ([no block])                                                                     = 几丁质
purified_nitrogen_mix                             ([no block])                                                                     = 纯化富氮混合物
iodide_solution                                   ([no block])                                                                     = 碘化物溶液
dichlorodicyanobenzoquinone                       ([no block])                                                                     = 二氯二氰苯醌
silicon_fluoride                                  ([no block])                                                                     = 四氟化硅
fluroniobic_acid                                  ([no block])                                                                     = 氟铌酸
enriched_naquadah_difluoride                      ([no block])                                                                     = 二氟化富集硅岩
brominated_brine                                  ([no block])                                                                     = 含溴盐水
isochloropropane                                  ([no block])                                                                     = 氯丙烷
titanium_isopropoxide                             ([no block])                                                                     = 异丙醇钛
deuterium_superheavy_mix                          ([no block])                                                                     = 氘-超重合金混合物
b27_supplement                                    ([no block])                                                                     = B27细胞培养添加剂
sulfuric_bromine_solution                         ([no block])                                                                     = 硫酸溴溶液
iodized_brine                                     ([no block])                                                                     = 含碘盐水
barium_sulfate_solution                           ([no block])                                                                     = 硫酸钡悬浊液
tributyl_phosphate                                ([no block])                                                                     = 磷酸三丁酯
iodine_brine_mix                                  ([no block])                                                                     = 碘盐水混合物
zinc_amalgam                                      ([no block])                                                                     = 锌汞齐
oct_4_gene                                        ([no block])                                                                     = Oct-4基因
hot_oganesson                                     ([no block])                                                                     = 热?
heavy_e_naquadah                                  ([no block])                                                                     = 重富集硅岩
isophtaloylbisdiethylthiourea                     ([no block])                                                                     = Isophtaloylbis(diethylthiourea)
vanadium_waste_solution                           ([no block])                                                                     = 钒废液
nbta_separation_mixture                           ([no block])                                                                     = 铌-钽分离混合物
xenon_trioxide                                    ([no block])                                                                     = 三氧化氙
hydroquinone                                      ([no block])                                                                     = 对苯二酚
heavy_quarks                                      ([no block])                                                                     = 重夸克
triaminoethaneamine                               ([no block])                                                                     = 三(2-氨基乙基)胺
trisodium_phosphate                               ([no block])                                                                     = 磷酸三钠
trimethylsilane                                   ([no block])                                                                     = 三甲基硅烷
dissolved_lithium_ores                            ([no block])                                                                     = 溶解态锂矿物质
sodium_chloride_solution                          ([no block])                                                                     = 氯化钠溶液
butylaniline                                      ([no block])                                                                     = 丁基苯胺
cas_9                                             ([no block])                                                                     = Cas-9蛋白质
uranyl_nitrate_solution                           ([no block])                                                                     = 硝酸铀酰溶液
acetic_anhydride                                  ([no block])                                                                     = 乙酸酐
selenate_solution                                 ([no block])                                                                     = 硒酸盐溶液
plantoil                                          (immersiveengineering:fluidplantoil)                                             = 植物油
ethanol                                           (immersiveengineering:fluidethanol)                                              = 乙醇
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = 生物柴油
exhauststeam                                      (immersivetech:exhauststeam)                                                     = 余热蒸汽
distwater                                         (immersivetech:fluiddistwater)                                                   = 蒸馏水
fluegas                                           (immersivetech:fluidfluegas)                                                     = 燃气
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = 营养精华液
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = 深渊露水
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = 轻盈之气
hootch                                            (enderio:block_fluid_hootch)                                                     = 烈酒
fire_water                                        (enderio:block_fluid_fire_water)                                                 = 火焰水
xpjuice                                           ([no block])                                                                     = 液态经验
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = 液态阳光
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = 云之精华
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = 浓缩云之精华
stone                                             (tconstruct:molten_stone)                                                        = 熔融焦黑石头
obsidian                                          (tconstruct:molten_obsidian)                                                     = 熔融黑曜石
clay                                              (tconstruct:molten_clay)                                                         = 熔融粘土
dirt                                              (tconstruct:molten_dirt)                                                         = 液态泥土
emerald                                           (tconstruct:molten_emerald)                                                      = 熔融绿宝石
blueslime                                         (tconstruct:blueslime)                                                           = 液态蓝色史莱姆
purpleslime                                       (tconstruct:purpleslime)                                                         = 液态紫色史莱姆
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = 星能液
potion.minecraft.mundane                          (gregtech:fluid.potion.minecraft.mundane)                                        = 平凡的药水
potion.minecraft.thick                            (gregtech:fluid.potion.minecraft.thick)                                          = 浓稠的药水
potion.minecraft.awkward                          (gregtech:fluid.potion.minecraft.awkward)                                        = 粗制的药水
